🕘️更新时间,#genre#
2025-02-26 06:39:19,http://171.115.226.32:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080

央视频道,#genre#
CCTV-1,http://171.115.226.32:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-1,http://125.107.3.221:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-1,http://125.107.125.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-1,http://125.125.140.35:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-2,http://171.115.226.32:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-2,http://125.107.3.221:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-2,http://125.107.125.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-2,http://125.125.140.35:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-3,http://171.115.226.32:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-3,http://125.107.3.221:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-3,http://125.107.125.14:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-3,http://125.125.140.35:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-4,http://171.115.226.32:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-4,http://125.107.3.221:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-4,http://125.107.125.14:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-4,http://125.125.140.35:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-5,http://171.115.226.32:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-5,http://125.107.3.221:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-5,http://125.107.125.14:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-5,http://125.125.140.35:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-5+,http://125.125.140.35:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|
CCTV-5+,http://111.172.12.162:1111/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源|
CCTV-6,http://171.115.226.32:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-6,http://125.107.3.221:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-6,http://125.107.125.14:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-6,http://125.125.140.35:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-7,http://171.115.226.32:9901/tsfile/live/faacts/0007_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-7,http://125.107.3.221:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-7,http://125.107.125.14:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
